respondent_id,age,bedtime_screen_time_minutes,total_daily_screen_time_hours,doomscroll_sessions_per_night,avg_doomscroll_session_minutes,sleep_hours_per_night,sleep_latency_minutes,number_of_night_wakeups,caffeine_intake_mg_per_day,anxiety_score,stress_score,sleep_quality_score,daytime_fatigue_score,number_of_news_apps_used,phone_checks_per_night,exercise_minutes_per_day,days_since_last_digital_detox,weekly_sleep_debt_hours,gender,occupation_status,country_region,primary_device_used_at_night,bedtime_routine_type,uses_night_mode,keeps_phone_in_bedroom,consumes_negative_news_content,uses_sleep_tracking_app,doomscroller,sleep_quality_category
D30000,22,13.0,1.85,2,5.4,8.1,19.0,2,155.0,5,7,5.0,6,3,3,103.0,9.0,0.7,Male,Unemployed,Germany,Tablet,Meditation/Journaling,Yes,Yes,Yes,No,Yes,Good
D30001,18,90.0,3.61,3,29.6,7.0,31.0,3,82.0,5,6,3.0,9,2,3,28.0,24.0,7.5,Male,Student,India,Smartphone,Meditation/Journaling,No,Yes,Yes,No,Yes,Poor
D30002,37,51.0,5.15,3,15.5,7.1,24.0,2,49.0,2,2,5.0,8,0,3,11.0,15.0,2.9,Prefer not to say,Student,India,Laptop,Reading,No,Yes,No,Yes,Yes,Fair
D30003,27,53.0,3.74,0,51.4,8.4,35.0,0,42.0,6,6,5.0,4,1,0,61.0,13.0,0.0,Prefer not to say,,United States,Smartphone,No Fixed Routine,No,Yes,Yes,No,No,Fair
D30004,17,67.0,6.09,2,32.2,7.2,19.0,1,76.0,5,7,5.0,7,3,3,23.0,19.0,5.4,Prefer not to say,Employed Part-time,United States,Smartphone,Watching Videos,No,No,No,No,No,Fair
D30005,21,81.0,5.2,4,19.5,7.9,39.0,2,61.0,5,6,5.0,7,0,2,37.0,84.0,4.3,Female,Student,Nigeria,Smartphone,Watching Videos,No,Yes,No,No,Yes,Fair
D30006,34,56.0,3.75,3,18.7,8.8,45.0,1,166.0,3,6,5.0,7,0,2,28.0,59.0,0.0,Female,Employed Full-time,Philippines,Smartphone,Scrolling Social Media,No,Yes,No,No,Yes,Good
D30007,26,40.0,2.41,3,13.7,7.7,36.0,2,54.0,4,4,,8,0,2,71.0,17.0,4.5,Male,Student,United Kingdom,Smartphone,Scrolling Social Media,Yes,Yes,Yes,Yes,Yes,Poor
D30008,32,77.0,3.38,4,19.2,7.8,29.0,1,127.0,4,3,5.0,5,2,1,12.0,7.0,4.8,Female,Employed Full-time,Germany,Smartphone,Reading,Yes,Yes,No,No,Yes,Fair
D30009,34,23.0,2.46,2,7.8,6.4,18.0,3,97.0,4,6,5.0,6,0,5,62.0,34.0,12.7,Male,Employed Full-time,Philippines,Tablet,Reading,No,No,No,No,No,Poor
D30010,40,67.0,4.05,4,22.9,5.9,35.0,1,152.0,4,8,5.0,5,2,2,66.0,2.0,12.6,Prefer not to say,Student,India,Smartphone,Reading,Yes,Yes,No,Yes,No,Poor
D30011,22,63.0,2.96,2,33.3,8.2,27.0,1,24.0,5,4,5.0,3,0,3,43.0,4.0,0.0,Female,Student,Australia,TV,Scrolling Social Media,Yes,No,No,Yes,No,Good
D30012,20,28.0,1.64,2,11.5,7.4,27.0,0,150.0,3,6,5.0,5,2,1,47.0,71.0,6.8,Male,Employed Full-time,United States,Smartphone,Scrolling Social Media,Yes,Yes,No,No,No,Good
D30013,40,59.0,3.71,4,11.5,8.2,25.0,1,36.0,5,3,,8,1,1,38.0,19.0,1.4,Male,Employed Full-time,Brazil,,Meditation/Journaling,No,No,Yes,No,No,Good
D30014,27,59.0,3.21,1,55.3,7.5,40.0,0,119.0,6,6,5.0,8,0,2,64.0,4.0,7.1,Male,Unemployed,United States,Smartphone,Scrolling Social Media,No,Yes,Yes,No,No,Fair
D30015,33,27.0,1.19,2,12.2,7.8,5.0,1,171.0,4,7,5.0,8,1,2,65.0,15.0,0.0,Female,Employed Part-time,United Kingdom,Smartphone,Meditation/Journaling,No,Yes,No,No,Yes,Good
D30016,46,58.0,2.26,3,18.6,6.4,24.0,1,169.0,1,4,5.0,5,3,4,44.0,100.0,12.5,Male,Student,India,Smartphone,Reading,No,Yes,No,No,No,Fair
D30017,29,32.0,2.93,2,19.4,7.3,29.0,2,77.0,7,8,5.0,7,2,2,42.0,21.0,6.5,Female,Student,Philippines,Smartphone,Watching Videos,No,Yes,Yes,No,No,Good
